ě pé 	il a pris
Nə̂ mfa' mǔ	De tes agissements
Pû tí tə́ gɔ́m m 	Remettons à demain
Bya tə̌ sí pə́ 	Ca ne fait rien.
Tâ, djikǔ' bó djɛ́ŋ á 	père, j'ai faim
ě pé kuŋvə á	il a pris mon stylo
Gaə̂ bə́ wə́ jí' tə́ â dǒ m	J'apprends seul
ě pí bɛ̂tsə̂ à	il m'a crevé l'œil
ě pó nə̂ e	il s'est courbé
Jikǔ' wə́ jɛ́ á te'	J'ai très faim
Nɔ̂nɔ̂ pá sô à.	Nono est mon ami.
Ǒ yɔ́ mûsėkú lá?. 	A tu vu l'élève?
Â bá bwâdzʉ̌ e lɔ̂. 	Il pleur chaque soir.
Â bė é yó fâm..	Il a acheté une plantation.
Nɔ̂nɔ̂ bá mûsėkû yɔk.	Nono est notre élève.
Bapgwʉ cë dɔ pá.	Le poisson ne pleure pas.
Jikǔ'tə̌ wə́ jɛ́ á pə́	Je n'ai pas faim
ǒ lə ŋkâp e	tu as pris son argent
Bə́ yə ǒ kuŋ lə	Si tu le désires
ě pi thə̂ é	il a taillé le bout
ě po á tə á cyə̂	il me hait beaucoup
ǒ yó bap	tu as payé la viande
ô jó bap 	tu payes souvent la viande
ǒ té pʉə̌ m	tu as retiré de ma poche
ô nté pʉə̌ m	tu retires de ma poche
Dəŋdzə pǔ ghə̀	Le premier groupe
Ghe pú ŋá' gì	Verbes à ton haut
â nuǝ tânyǝ	C'est l'affaire de tagne
tânyǝ, ô fǝ m há?	tagne, d'où vient tu?
Gâ fǝ̂ m tsa	Je reviens de la chefferie
Ô bə́ wə́ gə́ m gaə̂ kə̀ ?	Comment le fais-tu?
Tə bə́ wə́ jú' lə́?	Est-ce que tu t'en sors?
Sǒ ka kú ó a? 	N'as-tu pas honte?
Bə wu tə́ jyə́ 	C'est toi qui le sais
Ê khwɔ́' dî' zǐ, 	Avant de dormir
Dzʉ̂ dɔ́,  	Lorsque le jour se lève
Lɛŋtsə́ mė.	Un homme qui sautille.
Nâm shwə́ ta sá', 	Quand le soleil se lève
e ló' nyə dúsí . 	il se met rapidement debout.
e tə́m gɔ shwədyə̌,  	Il sort et reste dans la cour
thó' në lɛ́ŋtsə bhə́dzʉ́, 	Commence à sautiller dehors
djáp nyə́ dəm laŋ, 	Dépose le couteau sur la pierre à écraser
Lə́ ka pûu kwî' góm m	N'en parlons plus alors
Ták á nə̂ŋ ŋ gɔ̂m yaə̂	Laisse-moi parler aussi
Ô gɔ m hə́ sô à?	Où vas-tu mon ami?
Ghə̌ wim bú mə́bʉəə́	Le verbe a deux groupes
Gaə̂ gɔ m lɔ́ktà	Je vais à l'hôpital
Waə̂ bə́ wə́ shə́ŋ a ́á?	Qui me cherche?
Ě wə́ jú' two' mcùŋ	Il écoute la radio
Gaə̂ bə́ mûsəkú	Je suis un élève
Ô fa' yǔ kə?	Et toi que fais-tu?
Gaə̌ yú'. Â lɔ̂ bə o!	J'ai compris. Au revoir.
Ghiŋ â púŋ ŋ́! Tə fɔ̂kdzʉ̌!	Va bien! A demain
Gaə̌ gɔ pfʉ́ jiku'ú 	Je vais mourir de faim
Ǎ tʉɔ nə́ ghɔ̀m 	C'est difficile à dire
A pə̂ bə gaə̌ cəŋtə jú'	Si j'ai bien compris
Shɛ tə̌ sí pə́ 	Pas de problème
Ghɔm gaə́ ê pyáp á	Dis-lui de m'attendre
Ě wə́ dó' nyə́ te'	Il est très pressé
Mfa' mə̂ bə á yɔ́m 	J'ai beaucoup d'occupations
Tʉɔ́tə̂ shə́ nə́ tə́ pûu yú'	Cite quelques unes voir
A ka kwítə́ cwəlɔ̌	C'est inutile maintenant
Ê dɔ́ pë yɔ́. 	Quand il est propre ça se constate.
Ê bá bwâdzʉ̌ gɔ́ pé.	Il va au champ en soirée.
Mû Sǐ lë lâ gɔm. 	C'est le fils de Dieu qui l'avait dit.
Ô bá fɔ̂kdzʉ̌ sɔ́k sə̂ ó. 	Tu te laves la face chaque matin.
Gǎ sí dʉ́' tsə́ ghɔm bí pú.	Je suis en train de les tromper.
Mė ka yó dá fyə̂ gɔ́m nwə̀.	Quelqu'un parlait hier avec blague.
dî' pê bė ǒ yáp. 	Avant de prendre que tu aies déposé à l’ avance.
Pɔ́m ta dî' ghɔ símnyə́ twɔŋdyə̂ ó. 	Méfie-toi de ruiner ta famille.
Pa pɔ́m në póptsə tsë tsyə́.	Méfions-nous de mal parler de son nom.
Dî' pě dák thwə̂ ó.   	Avant de prendre fais attention (réfléchit d'abord).
Pə̂ go lu mókcʉ́ 	Nous allons quitter à midi
Pú' tǎ tɛ́ɛ́ŋ.	bat le jusqu'à ce qu'il tire.
Â cyə́ shwə̌ pė lá o !	bon appétit à vous ooo!
Té níŋ thʉ́m kɛ́ŋ. 	Retire et met dans une assiette.
Sópnyə́ lá khwi' shyə ná.	en tournant, ajoute s'y de l'eau.
Kwa dá sɔ'ɔ́ pa tsʉ́.	porte et viens avec moi la dégustation.
Ô go fz' mtsʉ̂' tyə̂' o	Tu vas travailler cette nuit
ɔ̂kdzʉ̌ pėpɔ́ŋ bí pė	Heureuse matinée a vousf
fɔ̂kdzʉ̌ pɔ á yɔ́gám 	Matinée du peuple de Yogam
fɔ̂kdzʉ̌ pėpɔ́ŋ o wo wo wo	Heureuse matinée oh oh oh oh
fɔ̂kdzʉ̌ pėpɔ́ŋ, ou wo wo wo wo	Heureuse matinée oh oh oh oh oh
fɔ̂kdzʉ̌ pėpɔ́ŋ, ê, yê, yǒgám é	Heureuse matinée eh, yeh, Yogam e
fɔ̂kdzʉ̌ pėpɔ́ŋ, wǒ u wô yǒgám e	Heureuse matinée oh oh Yogam e
fɔ̂kdzʉ̌ pėpɔ́ŋ bí pė,pɔ á yɔ́gám 	Heureuse matinée a vous, peuple de Yogam
fɔ̂kdzʉ̌ pėpɔ́ŋ bí pė, pɔ á yɔ́gám	Heureuse matinée a vous, peuple de Yogam
Éé, â bə gaə̌ ghə ŋwa'nyə ba vəbiŋgom	Oui,J'ai un livre et un magnétophone
So' cwəlo dzʉ́ ywə́ 	Viens maintenant manger
Yə vam nê ŋkwa yə thə́	Fais comme tu veux
Nə́ zhyə̂ nə́ ghom ka kû'	Parler ne suffit pas
Tí fôkfzʉ̌ tə́ nə̌ go dzə̀	Continue plutôt demain
Ǎlê, ǎlê, ǎlêlǔyá !	Allé, allé, alléluia.
Gɔ́ djí' tsə́ jyə́nwə̀. 	Allez apprendre la science.
Yî mėnaŋ po á lá' pyə̀.	Les tous petits de notre patrie.
Bé pʉə sėkú thám mâdjyə. 	Portez vos sacs à dos et mettez-vous en route.
Yî mėnaŋ po á lá' pyə ! Po yɛ́ŋná dúsi!	Vous les tous petits de notre patrie! Levez avc vigueur!
Nə́ və biŋ ŋkê bə á kwítə́	Ecrire et lire sont nécessaires
Â bə gaə̌ zhyə́;kə̂ kwi' góm m 	Je le sais;N'en parle plus
Gaə̌ yú',Gaə́ go kak tʉó	J'ai compris,Je vais me battre
Ǎ pùŋ,Gzə̌ piŋ ó te'	C'est bien,Je te félicite beaucoup
Yú' bi mô o,Kə̂ tʉo thə̌ 	Obéis à ta mère,Ne soit pas têtu
A tə tʉothə́ pə́ ; gaə̌ wə́ só'ó	Ce n'est pas la têtutesse; J'arrive
Pyáp ǎ. Pyâp á bwâdzʉ̌	Attends-moi. Attends-moi le soir
E kuŋ e lê ba yôjú'	S'il veut qu'il visionne aussi la télévision
Cʉ' thé mghâ' myə́ djáp djʉ̀m.	Tamise, retire les pulpes et met derrière.
Kwa və́msɛ́ŋ kwyə́ bɛ́ŋ.	porte la poudre de maïs et verse-la dans la marmite.
Mnuǝ mǎ bó dé á myǝ	mes affaires ne concernent que moi
mnuǝ mǔ pá dé á wǝ	Que tes affaires ne concernent que toi
gá bá nâ nuǝ tsa  	Je me préoccupe des problèmes de la chefferie
o pá nâ nuǝ kɛ́ŋ	Toi tu te préoccupes des problèmes d'assiettes
Armel, ǒ hə́ ? Gaə̌ wə́ shə́ŋ ó	Armel, où es-tu? J'ai besoin de toi
Mʉǝ̌ vʉ̂ shɔ́k te' .	La mère chiennes est tellement sévère.
djyə kėkam ka fʉ̌ wɔ́kpà.	Le raccourci nous avait trompés.
Sësə̂ mdzə́ cë thė në sɔ̀k pà.	L'habit noir n'est pas difficile à laver.
Fëfâ pǔsǐ  wə́ mpfá sësə̂ cwákwə̀.	Le chat blanc mange la souris noire.
Mu'bɔ̂kbɔ́k nwə̌ tə́m ná pú..	Ils sont victimes d'une mauvaise affaire.
Pë cë kwa dzî' dzí' mdzə́ cė sɔ̀k pə̀. 	On ne porte pas l'habit sale avec de laver.
kam djyǝ lə yâ' kwə sâŋgɔpə́.	Le raccourci avait coupé le pied de la perdrix.
Pé ko' kɛ̌ŋ dá gɔ pé djáp. 	Prend la petite assiette et vas la déposer à l'extérieur.
Mghê cė yâm bɔŋ bî mdzə́.	La chèvre savoure les jeunes repousses d'herbe.
Mëŋɛ̌ŋ mú yė ǒ jyə́ á kě mpfʉ́..	Le maigrichon enfant que tu connais est décédé
Pë pé mdzə̂ dzî' tsi'í dá gɔ shyə sɔ́kɔ́.	Prenez les habits sales pour aller laver à l'eau.
Pǔsí sësə́ pá wə́ mpfá fëfǝ̂ cwákwə̀.	Le chat noir est en train de manger la souris blanche.
Kwyák gėfa pǝmpǝm má' bî gopə́.	Égrène le maïs charançonné et va le lancer aux poules
Kɛ̌ŋ vʉ́ cë shu' ta mė yú' pá. 	L'assiette du chien n'avoue pas jusqu'à ce qu'on comprenne.
Kə̂ kwa dzə̂ dzî'tsi' í dá gɔ cėcǎ mėnàŋ.	Ne porte pas l'habit sale pour te mettre au milieu des gens
Pë ll̂' kwa mdzə́ â pá mdzə̂ dɔ̂lɔ̌.	En portant les habits, rassurons-nous qu'ils soient des habits propres
Pa ké mghɔm mɔ bîŋ fó'tsə́ në tútsə nâ flaŋsî.	Lisons ces phrases et essayons de les traduire en français.
Mu' cėŋa' nǎ' pé mpfaə́ mghê yâmyǎm.	Une vache immobile est au champ en train de manger les jeunes repousses d'herbe.
Vʉ̂ shɔ́k ta á cyə̂ pô' a la pɔ̂ŋ; 	Lorsque le chien est exagérément sévère c'est dangereux;
Pá mėdyə' la kó thʉ́m lá' tsyə vʉ̌ ná á cė mė khyə́p é. 	Nul ne peut entrer dans une maison ou il y a le chien sans qu'on ne l'enchaine.
Ê djɔ́ mė yė e ka jyə́ é á gwɔ́ŋ thó' á në cù'. 	Lorsqu'il voit un individu qui lui est inconnu il commence directement à aboyer.
Mu' vʉ̂ shɔ́k ta bá dënyə̂ ba mė yė ê khím é áá.  	Un autre chien est si sévère jusqu'à oublier même celui qui lui donne souvent à manger.
Tâ á Lyə́'nwə̂ bá ta' lɛŋtsə́ mė. 	Mon père Lyenue est un homme sautillant.
pë a mkam mlu' nwə́ lá kɔtsə.	Et à boire des bouteilles de vin pour trébucher.
bíŋ sɛ́ŋ mtsʉ' myə é gɔ ghɔ nə́ áá. 	Et s'imagine les endroits qu'il va parcourir.
Da' gâ bė e lě da lɔ́ŋ bóp nâ e.	Cependant il s'était auto détruit à travers la paresse.
Gaə̌ yə̌ŋ,Gaə̌ twô' dyə̌	Me voici,Je suis dans la chambre
Yə́ kə̂ bɔ́k é é ?	De quoi se fâche-t-il?
Ma' mnyə́ nə́ é 	Jette un coup d'œil sur lui.
Gaə̌ pwá. Gaə gɔ pfʉ́ pwâ	Je suis fatigué. Je meurs de fatigue
O pə̂ jyə̂nwə o khʉ̂	Si tu es sage, tu t'enfuis
Nwə kə̂ bə o ka siŋ á á?	Pourquoi ne m'as-tu pas dit?
Bə e tə̂ jaə nám pə́	C'est qu'il n'est plus chiche
Lə́ ka mo kwî ŋkónyə́ ə́	Alors ne l'étouffe plus.
Yu thə́fâ' bə́ kə ?	Quelle est ta profession?
Gaə̂ bə́ ntɛ̂sim	Je suis un commercant
Tə sǐm wə́ giŋ tyə́' ɔ , lá' ghiŋ	Comment va donc le marché?
Ô shwə́ hə́ ? Gaə̂ shwə́ â dǒ m	Où vis-tu? Je vis à Pète
Pyə mâ á pú tâ á nə̂ shwnə́	Je vis avec mon père et ma mère
Pye mu' sô a nə̂ shwə́ 	Je vis avec un ami à moi
Ka mo lá' shwə́ dǒ é	On ne doit jamais vivre seul
Ô gɔ m nə́ ghə kə?	Tu t'y rends pourquoi?
Gaə̂ gɔ lé mu' sô à	Pour rendre visite à un ami
Pyáp â n síŋ ó	Attends-moi que je te dise
Pû gɔ pə́mtə́ ghɔ	Nous allons partir ensemble
Bə́ yə a tə gɔ mɛ́nyə́ ó pə́	Si tu n'y trouves pas d'inconvénients
Kó shá'tə́ é bə̂m	Une fois là-bas, tu le salues de ma part
Tə ó gɔ tsʉ́ kə ?	Qu'est-ce que tu vas donc manger?
Mo hâ bâ kə́lə́ bə̂m 	Qu'on me donne n'importe quoi
Vam jikǔ' tə̌ ŋkeŋ pə́ 	Ventre affamé n'a pas de choix
Da'pâ'm wə́ dó' nyə́ lə 	Sauf que je suis pressé
Ghom gaə́ ê tí tə́ sɔ́'ɔ́	Dis-lui de revenir demain
E tə̂ gɔ píŋ pə́ 	Il ne va pas accepter
N tə̂ ne góm pə́	Je ne le dis pas pour rien
Kə̂ zhʉɔ̌nyə́ á zhʉɔ́nyə́	Ne me harcelle pas seulement
Lə́ e ghə̂ pá' ě yɔ́ lə	qu'il fasse alors comme il veut!
Ták á nə́ŋ ; gaə̌ pwá	Laisse -moi; Je suis fatigué
Ghɔm lə̂ ; gaə̌ wə́ ntéŋ mtə́ŋ	Parle alors; Je suis tout oreille
Gaə́ pûu ná' ŋkɔ́p tə́ŋ 	Pour qu'on se dise quelque chose à l'oreille
Ǒ fa' kə́ tə́ bwá á?	Qu'est-ce que tu as fait pour être fatigué?
khedé pɛ̂ŋ bɔŋ te' .	La banane mur est bonne.
Bǎyá mė lá tʉ̂ myə́ khedé.	Que chacun plante sa bananeraie.
Ǎ dî' pyǎnyə́ bá dʉ́mtsə́.	Tout en d'adoucissant, elle devient sucré.
Ô dzʉ́ yá, nâ o sɛ́ŋnyə̀.	Lorsque tu consomme, ton corps se vivifie.
Pë da pâ pɛ̂ŋ mwǎ dá shú' cú'.	C'est avec de l'huile rouge qu'on pille.
A cë djɔk pá , a la nyáŋ bá ŋɔ́. 	Ça ne gratte pas, encore moi Collant.
Pë cë dzʉ́ khedê cė pɛ̀ŋ pà. 	On ne consomme pas la banane non mûre.
Té msɛ́ŋ dá mhwə bú.	retire le couscous et emballe-le avec des feuilles.
Në nɛ̂ŋ msɛ̌ŋ mpfʉ.	Comment préparer le couscous de maïs et le Nkwii.
dî' hwǐtsə́ thó' në nu' mpfʉ.	en te reposant, commence à apprêter le Nkwii.
Ywí'tsə́. Ǎ mtsə́ . Kwa bɛ́ŋ thʉ́ sí.	goûté, c'est cuit. Retire la marmite du feu.
pėnyə lá hwítsə́ tǎ â cwə́ mdzə́.	tourne en goûtant jusqu'à ce que ce soit cuit.
Ywí'tsə́ tǎ â lámnyə́ shwə̌ ò.	Goûte, jusqu'à ce que ce soit savoureux dans ta bouche.
Mė cë gɔ pá ghɔ á sim tá yó pá.	On ne doit pas aller qu'au marché pour en acheter.
Pë tham khedé cė pɛŋ , ka dá shú' â ywə́ lâ. 	On malaxe la banane non mûre, pour piller un repas.
Më da pû é dá mpfá cú' a cyə̂ shwə̌ é.	Lorsqu'on mange le pillé avec la main, on trouve appétit.
Kwi' shʉ́' thé jagele nâ və́msɛ́ŋ.	Tamise encore, retires le son de la farine de maïs.
Kwyák gėfa dá gɔ mâsíŋ gwɔ́' ɔ́.	Egraines le maïs et vas le faire moudre au moulin.
Ga!e g!o pf%! u jishy!e 	Je vais mourir de soif
Mo hâ yaə shyə̂ n nwə́ 	Qu'on me donne de l'eau à boire.
Ghâk á wə́ ŋkhə́	Ma gorge se dessèche
Mlu' tə̂ gɔ nə̂ tsʉ' shyə pə́ 	Le vin ne peut pas remplacer l'eau
Lûŋ ě wə́ jɛ́ ; ê da' á cyə̂ 	il est fort en colère. Il se fâche trop.
Y wə́tsʉ̂ buŋ kapsǒ	La nourriture est bien en saison de pluie
Nâm ntyə́ kàplə̀m	Il fait soleil en saison sèche.
Ghɔ nâ mnuǝ mǔ.	Vas rejoindre tes affaires.
Kəyâ' jɔ́m kapcwə́	La disette est grande en période de soudure.
Dzʉ̂'ca' tə̂ jɔ́ gó' pə́	Le cultivateur ne souffre Pas
Ǒ zhyə́ á a?	Est-ce que tu me connais?
Mnuǝ mǎ bá nâ nuǝ ywǝ́tsʉ́	Mes affaires concernent le problème de manger
mnuǝ mǔ pá nâ nuǝ tsaɛ	Mes affaires concernent le problème du palais royal
ták â tsǎ náŋ pë a mnǝ mǎ	Laisses moi tranquille dans mes affaires
Tâ, neshwǝ̂ síŋ ó ba	Père restes tranquile et que je te dise hein!
cė kɛ́ŋ lë gɔ sâ' ya shɛŋ pá	Ce n'est pas l'assiette qui tranchera mon problème.
Â bǎ yák pakɛ̂ŋ m Tânyǝ.	Il ya eu manque de plat(propre) tagne.
tá, cwǝ bɔ̂ ka cyǝ́ a?	N'est ce pas que ce temps là est déjà passé?
ǒ yɛ̂ŋ kwyǝ́ ta bó fó' á	Tu as déjà grandi au point de te mesurer à moi.
kâ ghɔm gâ gǎ wák ó á!	Non, ne dis pas que je t'ai méprisé.gɛ̌ŋ!
Gɛ̌,ŋ ka zhyə́ ó, Síŋ á tsô tsǔ.	Non, Je ne te connais pas, Dis-moi ton nom.
dî' so' shwə́ te' ô;	J’étais venu très en retard;
be á tsə́ m kǒ nâ ta' gapdzʉ̌. 	Je serais le haricot pendant une semaine.
Yɔk dyə̂ sėkú lâ bá m taŋ tsyə́.	Notre salle de classe était par en haut.
A pá pô', háŋtsə nâ a gâ:	Par ailleurs, je me suis questionné en ces termes:
Ba ta pó'o,da djyə́ pá' wáp áá.	Jusque-là, je ne connaissais pas autant qu'eux.
Câ' bá ywə̂ ce fò'	La terre est un élément qu'on ne peut mesurer
Bá yė ó kwɔŋ á, o só' níŋ thʉ́m kɛ́ŋ.	si tu veux, tu le façonne et le met dans une assiette.
Shyə̌ sə́; té mpfʉ níŋ thʉ́m kɛ́ŋ. 	l'eau a bouilli; retire le Nkwii et met le dans une assiette.
kwyə jagele msɛ̌ŋ thʉ́m bɛ́ŋ tá bënyə́.	verse le son de maïs dans la marmite avant de tourner.
Kwa mpfʉ nu'nu' kwyə́ bɛ́ŋ bú'.	porte le Nkwii Déjà préparé, verse le dans une marmite et bat le.
Kwa bɛ́ŋ thʉ́ te níŋ shyə thʉ́m ó.	porte la marmite et dépose là au feu, puis met de l'eau a l'intérieur.
Cǔ' mkó khedê bɔŋ pëkhʉ̌ ta tsíŋnyə̂ síŋ ó la pá wə́.	Le pillé aux haricots et à la banane plaît aux enfants, au point où, il n'y a pas moyen de décrire.
Ma' mpfʉ thʉ́m ó byáp tâ shyə sə́.	lance le Nkwii à l'intérieur et attends que l'eau devienne bouillante.
Kwi' bú' , djwí'tsə́ gwɛ́ŋ pë a sɔ̂k ba mcyə́.	bat le, et goûte si le sel ou le vinaigre de cendre ont suffi dedans.
Kwa tsə́sɔ́k tsyə o lǎ' gwɔ' á níŋ thʉ́m ó.	porte les condiments recommandés dont tu avais déjà écrasé et verse le dedans.
Pé mpfʉ syá , dé khėkhə dá khwə́.	prends le Nkwii et épluche le, prendre la ficelle de bananier et attache le avec.
Dʉ̂' ca' lǎm dî' zǐ djí be a dják ywə́tsʉ́	Le travailleur de terre ne peut dormir affamé
Pe gɔm gâ Sǐ lâ da â ca'á bə́m methe	On dit que Dieu avait usé de la terre pour fabriquer l'homme
pô' djwɔ́k pë a Fe áá, ghɔ dó bí í	Comme tu a passé la journée avec le Roi, vas le lui demander
Tânyǝ, bǒ sɔk tʉ́m, ô fǝ̂ m tsa në ghǝ kí?	Tagne que tu es courageux, qu'allais tu faire à la chefferie?
Tânyǝ, ták nuǝ tsaɛ náŋ; tó' fǝ́ m nâ nuǝ kɛ́ŋ 	Tagne laisse l'affaire de chefferie tranquile, commence par l'affaire des assiettes.
Tǒ sí gɔ́ níŋ yu ywǝ́tsʉ tʉ́m nuǝ tsa tá tsʉ́ laɛ́?	Donc vas-tu mettre ta part de nourriture dans les affaires de la chefferie pour manger?.
ô gwák á daŋ pô' la Tânyǝ? ô gwák á daŋ pô' la?	Tu me méprise jusqu'à ce niveau, Tagne? tu me méprise jusqu'à ce niveau?.
Â be shyə̌ yɔ́m shyə́ cá', tâ cǎ' le pá ŋkwa shye	L'eau est plus abondante que la terre, mais c'est la terre qui soutient l'eau
Bá sháŋ né tə̂m nâ tsʉ' mama,dî' ghɔ bú' cá' nə̂ mkhwə myə́	Voulant sortir d'un lieu éternellement, en partant on tape la terre de ses pieds
o lá dî' tsǝ́ á bá sɛ́ŋ gá myǝ lë bó gɔ́ so' sɔk mkɛ̂ŋ mǔ kë?	Quand tu m'enfantait, tu prévoyais que c'est à moi de venir laver tes assiettes?.
da lî' tsǝ́ ó bá sɛ́ŋ gá ó gɔ so' kwítsǝ́ á.	Quand je t'enfantais, je prévoyais que tu devais venir m'aider.
Tânyǝ̌ cyǝ á looo, â nuǝ Tânyǝ oo	Je suis dépassé par Tagne oo, Ce sont les affaires de Tagne.
pâ' lwɔ̌k kó khó tsǝ́ é.	Comme le sommeil l'avait pris.
ǒ hálá nwǝ cyǝ̂ é	Cependant, il était dépassé par la situation.
E la ghíŋ ta dî' ŋwak vë bė é pwá.	En arrivant en brosse, il était fatigué.
E pʉ́' nâ e djɔ́ a pâ nɔ̀mthė.	Il se redressa et vit que c'était un animal féroce.
Tânyǝ ghɔ́ shɔ́m tsē mǎ. gǎ yaŋ bė gǎ pwá	Tagne soit compatissant envers moi Me voila tout épuisé.
É dî' cu' pó'o, bá sháŋ á në lǝ̂m mė yė e khëká wáp cė e djyə́ é áá. 	En aboyant il cherchera à mordre celui qui les a visité sans qu'il ne le connaisse.
nâkálá, pá e cwə́ cė tsʉ̌ywə́, ywə́tsʉ̂ é djáŋ bá á sí; bė á yák mė yė é gɔ há bí í áá.	Parce que, il peut rester affamé, son repas étant pourtant là; mais personne ne risque le lui donner.
Â bá pô' mė yė é kaktė te' á, pá so' djá' ywə́tsʉ̂ ě má' m bíí , bwɔ́k nə́ ghɔ bǎŋ é e lǝ́m ě.	Toutefois, le plus courageux viendra, prendre une partie de son repas et le lui lancera, ayant peur de se rapprocher de lui pour qu'il le morde.
Nwə̌ nâ kǎm.	La notabilité n'est pas une petite affaire.
Pë a mpá' khâm gɔ pə́ ghə tá jyə́ nə́ sâ'kǎm	En plus de cela, le notable apprendra à être juge
Nápâ' pë khó wə́ tá dányə́ në pâ gíŋ kám;	Tout comme on y accède avant d'apprendre à intercéder;
Më bá gíŋ pë khǎm shwə́ djí Sômkǎm; 	Celui qui chemine avec les notables deviendra un amis de notables;
Dǔŋ ghə nə́ pfʉ̂ jiku'ú, Ê jwɔ́k jɔ́ á go'ó	Le paresseux peut mourir de faim, Il souffre sans cesse.
Cam pá sak e cáŋ gá pë yá'tsə́ â mkàmkàm;	Les secrets étant nombreux, il cherchera, il cherchera qu'on réduise en de plus petits
Pá mė la yáŋ khó lá'kám cė ghə djwîkǎm;Cė ghə tâbʉǝ̂,	Il est impossible d'entrer au La'kam sans avoir sa femme de notabilité, sans avoir un Tabwe,
Pô' a cáŋ gá ê pá shə̂ŋ yə giŋ-kǎm; Pá mė la yáŋ kwíkám cė cyə lá'kam;	Pour cela il faudrait qu'il cherche son intercesseur; on ne peut recevoir la notabilité sans passer là le La'kam;
da pê' bá á mē̇cɔ́k mú, bǒ yɛ̂ cɔ́ á kwa' pėpɔ́ŋ.	Si j'étais encore un tout petit enfant, ce que tu m'aurais correctement tappé.
Tsíŋnyǝ̂ khámtsǝ́ ó gá wǝ lē̇ dzǝ́ á ba! cē Fė lē̇ dzǝ́ á pá	Attend que je te rappelle que c'est toi mon géniteur hein! Ce c'est pas le Roi mon géniteur.
Ták â tsǎ pó'o ...nuǝ tsa lē̇ tɔ́m á.	Laisses moi comme ça...ce sont les affaires de la chefferie qui m'occupent.
E la wɔ̌ŋ dʉǝtsǝ khwɔ́' nâ ta' tsyǝ́.	Il s'était coulissé immédiatement en montant sur un arbre.
E la cwǝ̌ to ta' tsyǝ́ në nâ' jwítsǝ́.	Il s'était réfugié en dessous d'un arbre pour un peu de reposer.
E pfʉə̂  sǝ̂ ê ba mnaŋ myǝ́, bó lá khanyǝ sí.	L’animal se grattait la face et les poils, en se roulant au sol.
E la ghá e zí, djú' ywǝ́ pá thú ghɛ́ŋ.  	Il se croyait en train de dormir lorsqu'il entendit un bruit à travers la forêt.
