Sen_fre ,Sen_gho
"Parce que, il peut rester affamé, son repas étant pourtant là; mais personne ne risque le lui donner.","na?ka?la?, pa? e cw?? ce? ts??yw??, yw??ts?? e? dja?? ba? a? si?; be? a? ya?k me? ye? e? g? ha? bi? i? a?a?."
"Toutefois, le plus courageux viendra, prendre une partie de son repas et le lui lancera, ayant peur de se rapprocher de lui pour qu'il le morde.","A? ba? po?' me? ye? e? kakte? te' a?, pa? so' dja?' yw??ts?? e? ma?' m bi?i? , bw??k n?? gh? ba?? e? e l??m e?."
La notabilité n'est pas une petite affaire.,Nw?? nâ ka?m.
"En plus de cela, le notable apprendra à être juge",Pë a mpa?' kha?m g? p?? gh? tá jy?? n?? sa?'ka?m
Tout comme on y accède avant d'apprendre à intercéder;,Nápâ' pë kho? w?? tá da?ny?? në pâ gi?? ka?m;
Celui qui chemine avec les notables deviendra un amis de notables;,Më bá gí? pë kha?m shw?? dji? So?mka?m; 
"Le paresseux peut mourir de faim, Il souffre sans cesse.","Du?? gh? n?? pf?? jiku'u?, E? jw??k j?? a? go'o?"
"Les secrets étant nombreux, il cherchera, il cherchera qu'on réduise en de plus petits",Cam pa? sak e ca?? ga? pe? ya?'ts?? a? mka?mka?m;
"Il est impossible d'entrer au La'kam sans avoir sa femme de notabilité, sans avoir un Tabwe,","Pá m? la yá? kho? la?'ka?m c? gh? djwi?ka?m;C? gh? ta?b???,"
Pour cela il faudrait qu'il cherche son intercesseur; on ne peut recevoir la notabilité sans passer là le La'kam;,Po?' a cá? gá e? pá sh??? y? gi?-ka?m; Pá m? la yá? kwi?ka?m c? cy? la?'kam;
"Si j'étais encore un tout petit enfant, ce que tu m'aurais correctement tappé.","da pe?' ba? a? me??c??k mu?, bo? y?? c?? a? kwa' pe?p???."
Attend que je te rappelle que c'est toi mon géniteur hein! Ce c'est pas le Roi mon géniteur.,Tsi??ny?? kha?mts?? o? ga? w? le?? dz?? a? ba! ce? Fe? le?? dz?? a? pa?
Laisses moi comme ça...ce sont les affaires de la chefferie qui m'occupent.,Ta?k a? tsa? po?'o ...nu? tsa le?? t??m a?.
Il s'était coulissé immédiatement en montant sur un arbre.,E la w??? d??ts? khw??' na? ta' tsy??.
Il s'était réfugié en dessous d'un arbre pour un peu de reposer.,E la cw?? to ta' tsy?? ne? na?' jwi?ts??.
"L’animal se grattait la face et les poils, en se roulant au sol.","E pf???  s?? e? ba mna? my??, bo? la? khany? si?."
Il se croyait en train de dormir lorsqu'il entendit un bruit à travers la forêt.,"E la gha? e zi?, dju?' yw?? pa? thu? gh???.  "
"Il était une fois, un chasseur se rendait dans un champ pour faire la chasse.","A la pa? mu?' ly??', ta' dja??v??m gh?? ge? bwe? ya? v??m.  "
"Par ailleurs, il vit un serpent qui s'était enroulé sur une branche d'arbre.","o ka? ha?la?, dj?? ma? n??k be? e? ts??mts?? na? pu? tsy??."
Je devais rencontrer le roi bayangam très tôt en cette matine?e ci.,kha? a? g?? y?? Fe? a? y??ga?m pa?? kwa' ma?f??kdz?? ??
"Père, tu sais que tes affaires sont mes affaires.","Ta?, o? jy?? ga? mnu? mu? ba? mnu? ma?"
Tagne tu devrais laver les assiettes avant de t'en aller.,"Tâny?, o ka? bo? g?? s?k mk??? ta? gh?"
"Mon nom c'est Somo, Et toi quel est ton nom?","Tso? tsa?? b?? So?mo?, Kwa' wu?, ts? tso? b?? wa?? ?"
"Au secours, venez comprendre ooo, ce sont les problèmes de Tagne, du fait de mepriser son pe?re.","Wó, a la? pe? so?' dj?? looo, a? nu? Ta?ny? oo. ne? pa? gwa?k ta? pe"
"Je vous souhaite une heureuse matinée, Heureuse matinée a vous, peuple de Yogam.","ga? ga? f??kdz?? pe?p??? bi? pe? la?,f??kdz?? pe?p??? bi? pe?, p? a? y??ga?m."
"Papa,je m'imaginais que en rentrant du palais royal tu aurais déjà lavé.","Ta? ka? a? khw??? ya? ga? ga? g? li?' f?? tsa, bo? y??? s?k."
Il s'en aperçevait qu'une sorte de fourmis noir le piquait et avait envahi son corps jusqu'à la tête.,"E li?' yu?' kwy??kwy?? to?' ne? l??mts? e?, kh?? na? e? pa? tsy?? a?a?.."
Ces fourmis se sont immédiatement rependues sur sa face et ses poils en commençant à le picquer.,wa?p la w??? s?? na? s?? e? pe? a mna? my?? gw??? tho?' ne? tsy??ts? e?.
"Il essayait de supporter, mais en vain, et pris le courage d'hommes pour décrocher la fourmilière et la frapper sur la face de cette animal féroce.","E cw?? s?k ke?k??, da? s?kt??m pab??? shw??' k?m kwy??kwy?? vo?p na? s?? n?mthe? ba?."
"Par la suite on nous a dispersés, et chacun allait dans sa salle.","Pë la pi?? hapts? m?na?, b? a? pa? p? lá gh?? na? yap dy??."
"Nous avions aussi exécuté le chant du peuple Binam, puis avions compté jusqu'à dix.","Py? l? kwi?' djw?p shy? po? a? Bi?nam, bi? s???yw?? ta kh??m na? gha?m."
J’en ai marre de la prison.,Ga? w??? C???.
Nous déposions le couscous de maïs.,Th?? ms??? si? 
Ceux-ci avaient fui la prison.,"P?p? la? be? wa?p kh? c???,"
L’environnement était si rouge.,dj?? be? ts??' p?? ga? c?????.
Ils retirent et en burent sans arrêt.,Wa?p py??' la? nw?? c???c???
