Sen_med	Sen_eng
Yαg dʉ̌ ʼ ŋwaèʼni ghuʼ, ndαê ŋwaèʼni yαm bwə	Our school is big with a lot of classrooms
Tɛdtswəʼ, mə zi 	At night I will sleep
Ndamnjʉ, mə nɛ̂ n ŋwaèʼni 	Tomorrow, I will go to school
O zi lα tα? 	Have you had a good night Sir? 
O zi lα tα? 	Have you had a good night daddy? 
O zi lα tα? 	Good morning daddy
O zi lα mα? 	Good morning mum
O zi lα mα? 	Have you had a good night mummy? 
O zi lα mα? 	Have you had a good night madam? 
Mə caèʼtə̌ tα αê 	I greeted my daddy
Mə caèʼtə̌ mα αê 	I greeted my mummy
Tα, o zi məèbwɔ αè? 	Sir, did you sleep well?
Tα, o zi məèbwɔ αè? 	Daddy, did you sleep well?
Ŋ̂ , mə mɛ̂ n αèm 	Yes, my son
Bαg nɛn αê ŋwaèʼni 	We are going to school
Ɔ ɔ tα 	Good bye Sir
Ɔ ɔ tα 	Good bye daddy
Ɔ ɔ mα 	Good bye madam
Ɔ ɔ mα 	Good bye mummy
Bαg fə αê ŋwaèʼni 	We coming home from school
O yog lα tα?	Did you have a good day daddy?
O yog lα mα? 	Did you have a good day mummy?
Mə yαb αê bαûm nsi 	I put down my bag
Mə nɛ̌ n sog αê mbu 	I am going to wash my hands
Mα α fα caŋ məè 	My mum gave me the food
Mə lαêbtə mα α 	Thanks mum
Mə tswə̂ nsi njʉ caŋ 	I sat down and ate
Mə caèʼtə̌ nzəè αèm 	I greeted my elder
Mə caèʼtə è ntʉ̂ ʼnjaèm αm 	I greeted my younger brother
Ŋwaèʼni mi 	The school is finished
Bαûm ŋwaèʼni αm lɛèlə 	My school bag is heavy
Kʉ̂ dfi sαm bi 	My pen is lost
Ghaŋwaèʼni tsin nka 	Students are in a row
Ngaètswitə̌ tɔ ndɔ 	The teacher whistled
Bαg yub kwi bʉèʼngɔè 	We sang the national anthem
Nkə̂ bnjʉ̂ məèbwɔ̂ mbαû tα 	Good morning daddy
Nkə̂ bnjʉ̂ məèbwɔ̂ mbαû tα 	Good morning Sir
Nkə̂ bnjʉ̂ məèbwɔ̂ mbαû mα 	Good morning mummy 
Nkə̂ bnjʉ̂ məèbwɔ̂ mbαû mα 	Good morning madam
Yog məèbwɔ mbαû mfɛ̂ l αèm 	Good evening my brother
Yog məèbwɔ mbαû Ngonnco 	Good evening Ngonnco
Koŋbam cʉb mɛn 	The child has diarrhea
Saŋtəwud cʉb mα α 	My mother has malaria
Bammba cʉb Nəènαèju 	Nəènαèju has constipation
Ngʉnmfəèn kə̂ ʼ bwɔ 	Chickenpox is not good
Bam sαm tad 	I have colic
Bam sαm tad 	I am constipated 
Mαêmbαn cʉb Ngaèkoʼ 	Ngaèkoʼ has abscess
Ndʉ̂ kə? 	How?
Cɔè bə αê ndʉ̂ kə? 	How are the news?
Zin cɔ̂ bə αê ndʉ̂ kə? 	How is your news?
Zin cɔ̌ fi αè? 	Your news is good?
A bə αê ndʉ̂ kə? 	How are you?
Cɔ̌ naʼ mfi 	The news is fairly good
Cɔ̌ fi kwaèʼ məèbwɔ 	The news is very good
Mə fon taèʼ mɛn 	I had a child
Mə cʉαû yαèm laèŋtəè 	I passed my exam
Ŋ̂ mə mɛn αèm 	Yes, my son
Ŋ̂ mə ngon αèm 	Yes, my daughter
Ŋ̂ mə mfʉαûg ncuè 	Yes, gentleman
Nzwi αm cwɛ̌ d ngon bə̂ nə ghonə	My wife is still sick
Nzwi αèm kə̂ ʼ yog njatə 	My wife is not cured yet
A kə̂ ʼ zin mbαè mətsili 	It’s not going even a little
Cɔè kə̂ ʼ fi 	The news is not good
A kə̂ ʼ zin 	Is not going
Məè səèʼ αê leʼ savʉ 	I come the day of funerals
Sɛ̂ nni bə αê leʼ ntαênə 	Today is the day of the market
Bαg nɛn αê ntαên laʼ 	We go to the village market
Bəènntʉ̌ n yαm ntαênə 	There are plenty of people at the market
Yaŋbaʼ dun tsə 	The car is full
Məè loʼ αê bambwogə 	I take the bike
Ghaswɛ̌ n ghaʼmbu 	There are many sellers
Ghajun nkə mfəd dʉʼ 	Buyers are jostling each other
Nguαntαn nkə nkaŋtə 	Thieves are prowling
Yαm juntαn bə αê kəènaè 	I market peanuts
Kαê nɛ̌ n ntαên kəè nkαb 	Do not go to the market without money
Nzwə lα wantαên nzwə 	Clothes are available at the booths
Nzəènzə̌ dun wambαb 	There is a lot of fly in the butcher’s shop
Cuntαn dun wantαnə 	There are lot of goods in the stands
Juntαên ntʉ̌ n swɛn wul i 	Good merchandise flows alone
Nywi, mbi bə αê cuntαnə 	Machetes, knives are goods
Ntangαb ta saʼbuʼu 	The chick seller buys the raven
Nswɛnbəʼ ghʉ̌ ntsi 	Yam seller has a basket
Yαg ntanbwə zi 	Our goat seller is rich
Ntangwa nkə mbwog αê mbaèŋ 	The salt seller fears the rain
O nkə nta ntαnə, o beb bin kəè bi lo	Merchants wait for profit or loss
Məè nɛn αê ntαnə 	I am going to the market
Məè fə αê ntαnə 	I am coming back from the market
Kə̌ nzətə tɛèdntαnə 	Be vigilant at the market
Mbαè wəlo ghʉ̌ zəè nkoʼntαnə 	Everyone has his counter
Ndαêntαên cu məèkalə 	The stand of imported objects
Kəè swɛn, kəè jun kα nɛn ntαnə 	Without money do not go to the market
Mə juʼ kwaʼ məèbwɔ 	I understood well
Ŋ̂ , ncu bə αê ncʉʼ 	Yes, I agree
ŋ̂ , mə ngon αèm 	Yes my daughter
ŋ̂ , mə shuèm αèm 	Yes my son
Mbʉ̂ ʼ bu, sə̌ ʼ məèbwɔ 	Welcome Mbʉ̂ ʼ bu
A dʉ̂ mtə mbαè 	Enjoy your meal
A cʉαê ncuè u mbαè 	Good appetite to you
Zi məèbwɔ̂ mbαè 	Good night to you
Tswə məèbwɔ 	Have a good stay
Tswə məèbwɔ mbαè 	I wish to you a good stay
Ki ju məèbwɔ mbαè 	Have good handwritten
Mə num nkɔ̂ fàʼ 	I love work
Mə lɛ̂ n nəè fα wud Nsi 	I know how to worship God
Mə num njuʼ ncuè 	I know how to obey
Mə kə̂ ʼ bə tana mɛèn 	I do not defame anyone
Mə lɛn kà mbαè kəèsoè 	I know kà and kəèsoè
Mə lɛn nəè nyaŋ ndαènzi 	I know how to dance ndαènzi
Kasə bwɔ bo lαêli 	The mask dance well the lali
Kαê nɛ̌ n cwɛd kə sofàʼ 	Do not go to the farm without hoe
Wad kəèlɔè bo nywi 	Harvest the plantain with the machete
O njən ntoŋnku kαê kʉè 	Do not run away from the police if you see him
Ngàkà bə̂ ngʉ̂ mfu 	The Ngàkà has products
Nkudbaʼ num nta 	The bricklayer is strong
Kuʼka num njogə 	The macabo itches
Nduʼ bə nzi ndα ncʉαgə 	The old palm wine is acid
Kαêbzib bwɔ ngàfàʼ 	Cell-phones are good for workers
Kαê kə ntɔ fin tɛdtswəʼ 	D not whistle at night
Nzə ndʉ̂ ʼ CEPOM num nɛ̂ n nəèsαè	The voice of ndʉ̂ ʼ CEPOM goes far
Mə bə αê mαndum 	I am a gentleman
Tα α bə αê mαndum 	My father is a gentleman
Ngon mα α bə αê mɛènnzwi 	My sister is woman
Mα α bə αê mɛènnzwi 	My mother is woman
Mə ghʉ̌ cə̌ ʼnku 	I have panties
Tα α ghʉ̌ nsαè cə̌ ʼnku 	My father has a trouser
Ngon mα α ghʉ̌ kαèbαè 	My sister has a dress
Mbα mα α ghʉ̌ kαèbαè 	Even my mother has dresses
Mə sog αê zinkətoʼo 	I wash the socks
Zi kum sαm lαn 	My knit is clean
Tα α ghʉ̌ nkoŋkəènà 	My father has boots
Mə sog αê nkəbαb mα α 	I wash my mother’s sandals
Mə ghʉ̌ tunzwə 	I have tee-shirt
Yαm nzwə fàgtə̌ 	My clothe is torn
Nzwə̂ ŋwàʼni lα 	Here is the school uniform
Nzwə̂ mfʉαg lα 	Here is the clothe for cold
Tα α ghʉ̌ bαè cəèʼ 	My father has a red cap
Mα α ghʉ̌ lamtu 	My mother has a scarf
bαg ghʉ̌ nəsɛ̂ n mbʉ 	We have a black dog
Busi bαûn cedku 	The cat hates the mouse
Mbwə bo njʉmbwə fɛd nəènαè 	Goat and sheep eat grass
Nguayid kɔ̌ ndə 	The buffalo likes to run
Ŋaŋom fɛd mbwə̂ yαg 	The hyena ate our goat
Saʼmbuʼu fəd nəèta 	The crow flies hard
Ngʉnyαûm kɔ̌ mbɛd 	The big likes excrement
Saŋ futə ngαb 	The bird looks like the hen
Zizi cobtə tutu 	Zizi scold tutu
Cokod siaŋ ngɔ̂ nα 	Cokod counts the furrows
Bαg ghʉ̌ tunndα 	We have a family
Tα α bə αê mɛnmαndum 	My father is a boy
Mα α bə αê tamnzwə 	My mother is a dressmaker
Ncʉαèmbwə αûm ta 	My elder brother is strong
Ntʉ̂ ʼnjàm αm bə αê mɛènnzwi 	My younger is a girl
Mə bə αê mαndum 	I am a man
O bə αê mɛènnzwi 	You are a woman
Tα α zə njàm bod 	My grandfather is tired
Mə kɔ̌ mα α zəè ndʉb 	I have a grandfather
Tα α zə njàm bə αê jʉè 	My grandfather is living in Bazou
Ngon tα α kɔè αm 	My paternal sister loves me
Nshum tα α bod tsə 	My brother is tired
Mə ghʉ̌ bə̌ n mα cαm 	I have my maternal brothers
Mə ghʉ̌ bə̌ n tα cαm 	I have my paternal brothers
Ncʉαèmbwə αèm bə αê nzəè αèm 	My elder is my uncle
Ntʉ̂ ʼnjàm αm tamnsi 	My younger brother fell
Ncʉαèmbwə bʉʼ mfɛ̂ l i 	The elder raises his brother
Nkə̂ bnjʉ, o zi lα tα 	In the morning, did you have a good night?
Mfə̌ dnjʉ, o yog lα mα 	In the evening, did you have a good day?
Bαg ghʉ̌ ntsəʼtəè tunndα 	We have a family meeting
Ntsəʼtəè yoŋncʉ̌ ʼ tamnguʼ 	Meeting once a year
Tunndαê bə αê mbuèmtəè 	The family has a meeting
Tα α ghʉ̌ bαûm zib 	My father has a shoulder bag
Mα α zəè ndʉb ghʉ̌ kog 	My grandmother has a stick
Ngaʼnzəè bə αê tuswə 	Ngaʼnzəè is the first born
Fitə bə̂ ngʉ̂ tunndα tsiaŋtəè 	Family peace gives joy to the heart
Ngɔ yαg ghʉ̌ jujʉ 	Our country has enough food
Caŋ bə αê nzə̌ nzəè 	The are several meals on the menu
Mə kɔ̌ tagnjαb, a lα 	I like tagnjab, here it is
Mə kɔ̌ bαên sogcɛèn 	I like fufu with cɛn sauce
Kəkʉα bwɔ bo kuʼkà 	Koki is good with macabo
Məè jʉ α tɔ̌ mfɔ mbα 	I like taro
Kəèmbuʼtuʼ bo biha 	Banana and avocado
Bombeètagə fə αê ntɛn 	Bombitag come from south
Bαênnkwʉ bə αê cʉèαncu 	Fufu is appetizing
Kəèmbuʼtuʼ kəʼ ghʉ̌ tom 	Banana does not have support
Kəèna bwɔ̌ sogfogtab 	Peanut is good for white sauce
Cʉαèshum bə αê bokwud boke 	Cassava is attached detached
Ngɔ̌ bαè mɛèn bə αê mbαb kəè vogə	Everyone’s village is bone-free meat
Bəèloŋ bαm bo fɛl i mbαg 	It is the potato which left to be eaten raw
Ncu gha kuʼkà mbαg 	The mouth refuses the raw macabo
Cujʉ tab ntαnə 	There is more than enough food in the market
Bəʼmbemə ta ncʉαê bəèloŋ 	Bəʼmbemə is harder than potato
Bə̂ ʼləʼ ghʉ̌ ndɔ tsə yαmə 	Bə̂ ʼləʼ has many branches
Bəʼntuju bwɔ bo tagkəènà 	Bəʼntuju is good with tagkena
Tagnjαb fə αê boʼlɛnə 	Tagnjab depends on melon
Ngoʼ bə̂ mbαên njαb 	The termite is not the vegetable
Njαbkəènà fə yα ntαn αê? 	Where does njabkena is coming from the market
Nkun məèkad loʼ dʉ̌ ʼ tαênyashʉʼ 	Rice has taken the place of beans
Cuʼkəèlɔ bo bànkun 	mashed banana with red beans
Nzikuʼ kə̂ ʼ bə tɛ̂ d caʼ bαm nja 	Even the mud extinguishes the fire
Bαg bə αê ntʉ̂ m nguʼswə 	We are into a new year
Mə ghʉ̌ fə̂ coʼnguʼu 	I have a diploma
Bαg fə coʼ αê cu 	We are from harvesting
Ngon mα α nandα mɛ̂ nfi 	My sister got married too young
Ngokɛd yαm ntum njʉ 	Too much illnesses in the world
Koglog cʉb bon shum 	Young people suffer from AIDS
Ngʉαyən bə αê num diaŋ 	The TV set is on the chair
Mbuʼnzwə ghàntsi 	Old basket cabinet
Koʼ məèbwɔ̂ mbα 	Rises well my dear
Tunndαê αm num nkɔ αm 	My family love me
Kαêbzib, ngʉαyən, nkwefoŋə 	Telephone, TV set, radio
Ju nəè ŋαbə kəʼ bwɔ 	What sticks is not good
Məè mɛ̂ n njuʼ ncu bwɔ 	The obedient child is good
Laʼ sαg bə αê laʼntu 	We are in a big family
Ncʉ̌ yag baʼ bə αê fogtab 	Our house has white color
A cʉαê ncu u mbα 	Good appetite to you
Kαê nɛ̌ n cwɛd kə sofàʼ 	Do not go to the farm without a hoe
Nzikuʼ kə̂ ʼ bə tɛ̂ d caʼ bam nja 	Even mud switches off fire
Mə bə αê mɛènntʉèn 	I am a person
Mə ghʉ̌ nkamwʉd yαmə 	I have many parts of the human body
Tu ghʉ̌ miαg mbαhα 	The head has two eyes
Mə kə njən nzə αê lαg 	I see with an eye
Tu ghʉ̌ ntoŋ mbαhα 	The head has two ears
Mə kə njuʼ nu αê ntoŋ 	I listen with ears
Tu ghʉ̌ ncu 	The head has a mouth
Mə kə njʉ caŋ αê ncu 	I eat by the mouth
Mə kə ncobtə αê ncu 	I speak with the mouth
Nyaŋtu cαm sɛn 	My hair is black
Wʉd ghʉ̌ mbu mbαhα 	The body has two arms
Mbu mαm nkə maʼ nzwə 	I wear clothes with my arms
Mbu mαm nkə ndoʼ caŋ 	I take food with my hands
Mbu mαm nkə mfaʼmfàʼ 	It’s my hands working
Mbu mαm nkə nsog ju 	It’s my hands washing
Mbu mαm nkə nki ju 	I write with my hands
Mbu mαm nkə nkə̂ d mɛn 	I carry the baby with my hands
Mbu mαm nkə mbeʼtə dʉʼ 	It’s my hands that sweep
Wʉd ghʉ̌ ntu mbu 	The body has fingers
Mɛènntʉ̌ n ghʉ̌ nku mbαhα 	A person has two feet
Mə ghʉ̌ mvɛèn bo bàm 	I have a stomach and a back
Bàm sαm bə αê mbwəè 	My stomach is in front
Mvɛèn αm bə αê njàm 	My back is behind
Tɔ αm lad tu αm 	My neck supports my head
Sɔ sαm coʼ tsə 	My tooth is removed
Wud ghʉ̌ ndaŋ mi ntad 	The body has three parts
Sə αm futə zə̂ tα α 	My figure looks like my father’s
Mə kə nzin αê nku 	I walk on foot
Bàʼ yαg ghʉ̌ ntoʼ mi yαmə 	Our house has several rooms
Toʼmu bə bwə lα 	There is a living
Ntoʼ zi bə yαmə 	There are many sleeping rooms
Fə̌ ʼmbwog bə αê ncundα 	The kitchen is in the yard
Fə̌ ʼmbwog ghʉ̌ tɔ̌ mbwogə 	The kitchen has a fireplace
Nka bo mba bə αê fə̌ ʼmbwogə 	Plates and pots are in the kitchen
Fə̌ ʼmbwog yαûg ghʉ̌ nkoʼndα 	Our kitchen has shelves
Toʼmu ghʉ̌ ngʉαyən mbαè nkoʼcaŋ	The living room has a TV set and a margin guard
Toʼmu ghʉ̌ ndiaŋ mbαè nkoʼncwɛn	The living room has chairs and wooden cabinet
Ntoʼzi ghʉ̌ nkunndα ncwɛn 	The rooms have wooden beds
Sə̂ və̌ tα yαg lα toʼmu 	The picture of our father is in the living room
Kod kə̂ ʼ bə tsə αê ndα 	The toilet is not inside the house
Kod bə αê njàm fə̌ ʼmbwogə 	The toilet is behind the kitchen
Laʼ sαg bə αê laʼntu 	Our concession has a lot of people
Bàʼcaʼ lα bwə, baʼncwɛn lα bwə 	Sun dry blocks houses are there, wooden houses are there
Mbi bə̂ njwimtə mα α 	The knives help my mother
Nywi bə̂ njwimtə tα α 	The machetes help my father
Bαg ghʉ̌ mbʉ mbα busi 	We have a dog and a cat
Ngab kɔ̌ ngəèfəd yαmə 	The hen loves corn too much
Mə bə αê ndα 	I am at home
Coʼ nzə ndα 	Open the door
Kaŋ nzə ndα 	Turn the door flap
Fʉ̌ n nzəndα 	Close the door
Coʼ tɔndα 	Open the window
Fʉ̌ n tɔndα 	Close the window
Mə beʼtə αê tɛ̌ dndα 	I sweep the floor
Mə sog αê tɛ̌ dndα 	I wash the floor
Mə sog αê nka 	I wash the plates
Mə sog αê mba 	I wash the pots
Mə sog αê nduʼ 	I wash the spoons
Mə sog αê ləd 	I wash the glasses
Ntʉ αm kʉ 	I am thirsty
Fα ntsə̌ lαê məè 	Give me water
Mə nu αê ntsə 	I am drinking water
Mə nɛn αê ntsə 	I am going to the water steam
Mə fə αê ntsə 	I am coming back from water stream
Ntsə bə αê mbwɔ ju 	Water is good
Nzə ntsə̌ sàgə 	The way to the water stream is long
