Mə	I
Ndântʉ	Chest
Mâdù’	Thumb
Mbǎzwə’	Loins
Ntsə̌wud	Sperm
Ntsə̌wud	Semen
Fʉnkù	Tibia
Bàm	Belly
Cə’	Vulva
Ndə̀n	Vulva
Nsɛ̄n	Black
Lɔ̄tə̄	᷄look
Kà	Magic
Nsà	Stars
Nə̀kā	Grill
Nkātə̄	Roast
Bàgkā	Plate
Kâ	Walks
Làd	paste
Màd	Habit
Cā’ā	Earth
Nə̀yā’ā	Climb
Nə̀yā’ā	Cross
Ghàbtə̀	Share
Kàb	Fence
Mbâbndùn	Mouse
Ndə̀b	Coton
Nkāb	Money
Tà’ ndù’	A beer
Tà’ ndù’	A wine
Kɔ̂	Admire
Nkûm	Arrive
Bokwud	Attach
Kə̀mbuʼtuʼ	Banana
Ntsi 	Basket
Jʉ̀	Bazou 
Kα	Before
Njàm	Behind
Zwə̌	Bitter
Tânjòŋ	Costly
Leʼ	Day of
Tǔnndα 	Family
Tα	Father
Mi 	Finish
Bwôgmbwə̀	Fistly
Ndâgte	Forget
Lɛ̀lə 	Heavy 
Mə lɛn	I know
Ngàcàgtə̀ 	Leader
Ntòŋ 	Listen
Mətsili 	Little
Kûʼkǎ	Macabo
Ntα̂nə 	Market
Sofà’ άm	My hoe
Yα̂m sofà’	My hoe
Mɛ̂n ὰm 	My son
Bə̀nntʉ̌n	People
Mɛ̀nntʉ̌n	Person
Yαm	Plenty
Ntoŋnkù	Police
Bə̀lǒŋ	Potato
Bwɔ̌	Pretty
Mα̂ʼ	Put on
Gha	Refuse
Cô’	Remove
Nkəbαb	Sandal
Ŋwànǐ	School
Ŋwàʼnì 	School
Ghǎswɛ̌n	Seller
Ntɛn 	South 
Mbêʼtə dʉʼ	Sweep 
Kod	Toilet
Ghǎswɛ̌n	Trader
Ngʉαyən	Tv set
Nzə̀	Uncle 
Ntsə 	Water 
Zîle?	Which?
Mîlə?	Which?
Tsîlə?	Which?
Cʉαg	Wicked
Tɔndα 	Window
Mɛ̀nnzwi 	Woman 
Ngàfàʼ 	Worker
Mǐ	Finish
Sα̌mmɛ̀n	Nobody
Ngwa	Gigger
Cʉag	bitter
Cʉag	acidic
sə́	figure
càm	secret
cú	things
cá	prison
nyám	refuse
kὰn	rotate
zuiàg	breath
gá	refuse
nyὰm	animal
bʉ́	breast
bàg	divide
ńtα̂g	advice
Mbaŋ bwə	Beside
Pumα	Orange
Flànsi	French
Kə̀kag	Armpit
Ntubu	Finger
Nzə̀tɔ	Throat
Ngə̀’	Cheeks
Lem	Tongue
Ngǎləm	Artery
Ngùblag	eyelid
Zwə’	Kidney
Bʉn	Breast
Mbǎcàm	Testis
Mbǎcàm	Testes
Dʉ̌’jʉm	Uterus
Nzə̀wud	Vagina
Mə́ ghʉ̀	I have
Á ghʉ̀	He has
Mbām	Accept
Nkā	To fry
Ntūmə̄	Go out
Lɔ̄tə̄	Contol
Nə̀ghā	Refuse
Ŋām ntād	Thirty
Nə̀bādtə̄	Pamper
Nsīcā’ā	Ground
Cā’ā	Ground
Kà’nì	Promis
Sà’	Snatch
Cāb	Purify
Ghàbə̄	Divide
Ndə̀b	Thread
Tà’ ntsə	A river
Tà’ ntsə	A water
Mα̂nαmə	Bamenda
Njàm 	Behind 
Nguǎyid	Buffalo
Cʉὰshum	Cassava
Ngɔ	Country
Nə̀fɛ̌nntʉ	Courage
Nywi	Cutlass
Câgtə	Educate
Mfə̌dnjʉ	Evening
Mfì’	Example
Savʉ 	Funeral
Fα mə̀	Give me
Wǎd	Harvest
Kəb	Harvest
Sofà’ í	Her hoe
Zə̂ sofà’	Her hoe
Ndu	Husband
Ngòkɛd	Illness
Fə̌ ʼmbwog	Kitchen
Nywi	Machete
Mfěnyàm	Minutes
Bi	Missing
Nkαb	Money  
Nkə̂bnjʉ 	Morning
Mα	Mother 
Caŋ sὰm 	My food
Caŋ sάm 	My food
Sα̂m caŋ	My food
Mbwə ὰm  	My goat
Yὰm  mbwə  	My goat
Tu άm	My head
Yα̂m tu	My head
Mfə̀n ὰm	My king
Yὰm mfə̀n 	My king
Fu άm	My leaf
Yα̂m fu	My leaf
Nkâ mάm	My pans
Nzwi αm	My wife
Ndú’ mάm	My wine
Sofà’ yάgə́	Our hoe
Yα̂g sofà’	Our hoe
Sə̂və̌	Picture
Na	Prepare
Ngà ŋwàʼnì 	Pupils 
Sǎ	Scatter
Mfěnyàmnkəʼə	Seconds
Yαmə 	Several
Kʉα̌	Sharpen
Nkǒʼndα 	Shelves
Bàm 	Stomach
Ntǎ 	Strong 
Cʉα̌	Succeed
Nə̀ cʉaŋə	Suspend
Nə̀ ghə̀lə	Suspend
Ngàtswitə̌ 	Teacher
Ngoʼ	Termite
Laʼ 	Village
La’	Village
Bαg ghʉ̌	We have
Sə̌ ʼ mə̀bwɔ 	Welcome
 Ntɔ fîn	Whistle
Ghǎfà’	Workers
Sə̀mô’	Another
Ntsə’tə̀	Meeting
Sα̌mju	Nothing
Lâŋ ncʉ’	A lavel
Ngùm	Badluck
swάk	descend
yám	produce
fìk	measure
ŋgɔ̀	country
bàm	stomach
bág	incline
nə̀ fά	to give
swá	descend
Nə ghʉ̌	To have
miâg ŋwà’nì	letters
ngrǐsì	English
ncùnda	Outside
Cwɛdtùn	Buttock
Ngǔbmiag	eyelids
Mbʉn	Breasts
Bàm	Stomach
Kìŋ	Bladder
Á ghʉ̀	She has
bag ghʉ̀	we have
Ò bə̄	You are
Mbà	Nucleus
Ndū	husband
Nnā	To cook
Kwàtə̀	thaught
Sàtə̌	Scatter
Nsà	Firefly
Kwā	Bicycle
Và'ā	Disturb
Ngwàd	Scalpel
Ŋād	Winding
Bādtə̄	Flatter
Ghà’	Serious
Yà’	To Lend
Māndā	Partner
kwǐnyàm	Antelpe
Nkāb	Harvest
Bi	Misplace
Mα̂mbαn	Abscess 
Biha 	Avocado 
Nə̀kutu	Boldness
Bɔnkə’	Children
Zə̀nkǒʼntαnə 	Counter 
Fə̂coʼnguʼu 	Diploma 
Ntû mbu	Fingers 
Ɔ ɔ	Good bye
Fu sə́	Her drug
Caŋ sə́	Her food
Mbwə i᷆	Her goat
Tu í	Her head
Zə̂ tu	Her head
Mfə̀n i᷆	Her king
Zə̀ roi	Her king
Fu í	Her leaf
Zə̂ fu	Her leaf
Fu i᷆	His drug
Fu sə́	His drug
Caŋ sə́	His food
Mbwə i᷆	His goat
Zə̀ mbwə	His goat
Mfə̀n i᷆	His king
Mî mfà’	His work
Zə mfà’	His work
Saŋtəwud	Malaria 
Ntsəʼtə̀	Meeting 
Mɛn ὰm	My child
Yὰm mɛn 	My child
Ntʉ άm	My heart
Yα̂m ntʉ	My heart
Nə̀nὰ cάm	My herbs
Fu άm	My paper
Sɔ sάm	My tooth
Sα̂m sɔ	My tooth
Ntsə mάm	My water
Mfà’ mάm	My works
Kəʼ bwɔ 	Not good
Njαmə 	Numerous
Njαm	Numerous
 Fu sάgə́	Our drug
Caŋ sάgə́	Our food
Tu yάgə́	Our head
Yα̂g tu	Our head
Yὰg mfə̀n	Our king
Fu yάgə́	Our leaf
Yα̂g fu	Our leaf
Cə̌ ʼnkù 	Panties 
Kə̀nà 	Peanuts 
Kə̀lɔ	Plantain
Yαb nsi 	Put down
Bὰ cə̀ʼ 	Red cap 
Futə	Resemble
Diagtə leʼnjʉ	Set date
Diagtə ngə̀laŋ	Set time
Ngòkɛd	Sickness
Ngà ŋwàʼnì 	Students
Tom 	Support 
Yə̂n sofâ’ dîn	That hoe
Yə̂n bὰm nα	That hoe
Sə̂n kὰn nα	That law
Mə̂n mvɛd dîn	That oil
Yənnα	That one
Mənnα	That one
Yə̂n mbʉ lî	This dog
Mənnî	This one
Mə̂n ndù’ lî	This win
Ndǎmnjʉ	Tomorrow
Nsὰ cə̌ʼnkù 	Trouser 
Sofà’ ú	Your hoe
Yû sofà’	Your hoe
Zîn sofà’	Your hoe
 Nzə̀ ὰm 	My elder
Kùm	Costumes
Kògə	Collapse
Nù άm	My thing
Njòŋ	Quantity
Kù’	Increase
zʉ́m	pregnant
kàg	dust bin
swá	get down
mfən αm	my chief
Yàm ghʉ̀	MY thing
Ntûmbu	Fingers 
Nkə̀mbə̀’	Shoulder
Ncwɛdtùn	Buttocks
Kaŋsə	Forehead
Mfǎŋntsəlag	Nostrils
Nkaŋmiag	Eyebrows
Fʉnkù	Shinbone
Nyǎŋntsəɛg	Vibrissa
Yàm Nzə̀tɔ	My thoat
A fi tsə	It is ok
Ó ghʉ̀	You have
Bin ghʉ̀	You have
Mmâ’	To throw
Nə̀yāgtə̄	Frighten
Kwā	Bracelet
Ndā	Calabash
Cə̀d	Break up
Kâ	Vagrancy
Cāb	Maintain
Māndā	Adultery
Shʉ̄mbàb	Squirrel
Njābə̄	deposite
Ngulαbe	Bangoulap
Bwɔ̌	Beautiful
Ndα̂ ŋwà'nì	Classroom
Kòŋbǎm	Diarrhea 
Kα̂ nɛ̌n	Do not go
Mbὰ wəlǒ	Everyone 
Mbɛd	Excrement
Tɔ̌ mbwogə 	Fireplace
Kə̀nà 	Groundnut
Cə̌’	Hairstyle
A fà	He worked
Zə̀ mɛn	Her child
Sɔ sə́	Her tooth
Ntʉ í	His heart
Zə̂ ntʉ	His heart
Sɔ sə́	His tooth
Sɔ sə	His tooth
Mə cʉǎ 	I passed 
Ngâb cάm	My chicks
Nzwə̂ cάm	My cloths
Nshun ὰm	My friend
Nguʼswə 	New year 
Yὰg mɛn	Our child
Zə̀bə̀ mɛn	Our child
Mîbə̀ mfu	Our drugs
Ntʉ yάgə́	Our heart
Yα̂g ntʉ	Our heart
Yag baʼ	Our house
Zə̂bə̀ bà’	Our house
Sɔ sάgə́	Our tooth
Kα̂ bzǐb	Telephone
Mə lα̂btə	Thank you
Sə̂n caŋ dîn	That food
Yə̂n ngab lα	That fowl
Mə̂n ngwa lα	That salt
Ntʉ din	That tree
Yə̂n bu lî	This hand
Fu sú	Your drug
Ntòŋ mú	Your ears
Ntòŋ mínə́	Your ears
Yù mbwə	Your goat
Mbwə̂ zi᷅n	Your goat
Tu ú	Your head
Yû tu	Your head
Tu zínə́	Your head
Mfə̀n ù	Your king
Yù mfə̀n	Your king
Mfə̀n zi᷅n	Your king
Fu ú	Your leaf
Yû fu	Your leaf
Caŋ sú	Your meal
Nkâ mú	Your pans
Ndù’ mú	Your wine
Zə̀mǒ’	The other
Sə̀mô’	Different
Ghuα	Different
Ngumō’	Last year
Ngumō’	Next year
Ngὰbmō’	Last week
Ngὰbmō’	Next week
bíd	germinate
dʉ́k	cultivate
cwɛ́n	fire-wood
Mfà’ ntʉ̀n	Good acts
Ghʉ̀ kə̀bwɔ̀	bad thing
Nyǎŋmiag	Eyelashes
Kǐdnsa	Body side
Nto	Intestine
Mbǎcàm	Testicles
Sàm kə̀kag	My armpit
Nsi nùm bwə	God exist
A fi tsə	I am fine
Bo ghʉ̀	They have
Ncà	A problem
Ngā	To refuse
Māŋ	Challenge
Kə̀nà	Groundnut
Ghà’mɛ̀n	Celebrity
Bà’	Retaliate
Bà’ā	Retaliate
Bə̀bà’	Lightning
Bīd	Germinate
Bīdtə̄	Germinate
Tà’	Extremely
Cāb	Fertilize
Ghàb	Partition
Māndā	Concubine
Njàb	Vegetable
Nkudbaʼ	Bricklayer
Kα̂ bzǐb	Cell-phone
Ngʉnmfə̀n	Chickenpox
Ghὰbtə̌	Distribute
Mfʉǎg ncuè 	Gentleman 
Mαndùm 	Gentleman 
Zə̀ tα	His father
Α̂ ndʉ̂kə? 	How is it?
Fu sάm	My medcine
Sα̂m fu	My medcine
Bam sαm	My stomach
Mbadtə̀ ŋwʉ	Next month
Yὰg mbwə	Our goat  
Mfu 	Products  
Bα̌m ŋwàʼnì 	School bag
Cαbcə̌d	Tchaptchet
Tûnzwə 	Tee-shirt 
Yə̂n ka dîn	That plate
Sûb fu	Their drug
Sûb caŋ	Their food
Yûb tu	Their head
Yùb mfə̀n	Their king
Cənnî	These ones
Yə̂n bà’ l̂	This house
Sə̂n sɔ lî	This tooth
Məndîn	Those ones
Cəndîn	Those ones
Njαb 	Vegetable 
Zîle?	Which one?
Nkunndα ncwɛn 	Wooden bed
Mbwə ù	Your  goat
Mɛn ù	Your child
Yù mɛn	Your child
Mɛ̂n zi᷅n	Your child
Ntʉ ú	Your heart
Yû ntʉ	Your heart
Zîn ntʉ	Your heart
Nə̀nὰ có	Your herbs
Sɔ sú	Your tooth
Ntsə mú	Your water
Səvə̀ άm	My picture
Dʉ̌ʼfà’	work place
Ndâdnya’	Forefinger
Dʉ̌ncù	Moustaches
Nkib	Fingernail
Nyǎŋntsəɛg	Nasal hair
Mə kɔ̀ ō	I love you
Nnā	To prepare
Kwīāg	Inaugurate
Kād	Get around
Tà’tà’	Abundantly
Cāb	To arrange
Ghàbtə̀	Distribute
Kâ leʼnjʉ	Choose date
Kâ ngə̀laŋ	Choose time
Tα̂mnzwə 	Dressmaker 
Nandα	Get married
Ntα̂nbwə	Goat seller
A lα 	Here it is 
Mə bə α̂ mαndùm 	I am a man 
Mə kɔ̌ bα̂n	I like fufu
Zənù	Intelligent
À bə zə	It is as if
Tôʼmǔ 	Living room
Mfɛ̂l ὰm 	My brother 
Bôn cάm	My children
Ngòn ὰm 	My daughter
Tsə̂môʼ ngə̀laŋ	Other dates
Tsə̂bə̀ nzwə 	Our dresses
Ntα̂ngwa	Salt seller
Mə lα̂btə mα α 	Thanks mum 
Sə̂n bu’ lα	That packet
Yùb mɛ̂n	Their child
Yûb ntʉ	Their heart
Sûb sɔ	Their tooth
Mə̂n mfu lî	These drugs
Cə̂n ngab lî	These fowls
Yə̂n mɛ̀n nî	This person
Ŋ̂ , mə shuèm α èm 	Yes my son 
Ngâb có	Your chicks
Nzwə̂ có	Your cloths
Yù mα	Your mother
Nə̀ kù’u	To increase
Cʉâg pumα	Sour orange
Nsòkwa	Ring finger
sù kə̀kag	Your armpit
À ghònə̄	He was sick
Nkādtə̄	Walk around
Nkà’nì	Rendez-Vous
Mbǎbwūd	Human flesh
Ntα̂ngαb	Chick seller
Bǎmmbǎ	Constipation
Tûswə 	First born  
Ɔ ɔ tα 	Good bye sir
Kə̀lɔ̀ sə́	Her plantain
Kə̀lɔ̀ sə́	His plantain
Bam sαm tad 	I have colic
Mə juʼ	I have heard
Mə kɔ̌ jûjʉ 	I like food 
Mə̀ jʉ α tɔ̌mfɔ mbα 	I like taro 
Mə nǔm nkɔ̂ fàʼ 	I love work 
Jûntαn	Market thing
Njὰb ὰm	My vegetable
Yὰm njὰb 	My vegetable
Sə̂bə̀ kə̀lɔ̀	Our plantain
Kə̀lɔ̀ sάgə́	Our plantain
Cû ŋwànǐ	School tools
Diagtə njôŋ ngə̀laŋ	Set duration
Bə̀lòŋ	Sweet potato
Ntsə 	Water stream
Sôgfogtab 	White sauce 
Ŋ̂ , mə mɛ̂n ὰm 	Yes, my son 
Ŋ̂ mə mɛn ὰm 	Yes, my son 
Lα̂gntsə	Water source
Nə̀ vògtə̀	Be welcoming
Nə̀co	introduction
Ndâdnya’	Index finger
Mə cà’tə̀ o!	I greet you!
O yog ὰ	Good evening
Mə̀ bə̄ â mɛ̀nzwǐ	I am a woman
Ncʉὰmbwə	Elder brother
Ya’nka’	Extraordinary
A nu ndù’	He drank wine
A fà	He has worked
Njὰb  i᷆	Her vegetable
Zə̀ njὰb	Her vegetable
Njὰb  i᷆	His vegetable
A bə α̂ ndʉ̂kə? 	How are you? 
Mè bə α̂ ngà ŋwàʼnì 	I am a pupil 
Mə bə α̂ ndα 	I am at home 
Ntʉ αm kʉ 	I am thirsty 
Mə bə’	I have broken
Mə̀ à’ nɛ̌n yὰm	I will go too
A kə̂ ʼ zin 	Is not going 
Yὰg njὰb	Our vegetable
Bα̌m zib 	Shoulder bag 
Lò’ yənnα	Take that one
Cə̂n nzwe lî	These dresses
Mâ’ yəndîn	Wear that one
Tecù’ ὰ?	Which tecù’?
Zîd Toŋ ὰ?	Which toŋtαn?
Ŋ̂ , ncǔ bə α̂ ncʉʼ 	Yes, i agree 
Bôn có	Your children
Kə̀lɔ̀ sα̂m	Your plantain
Sα̂m kə̀lɔ̀	Your plantain
Kə̀lɔ̀ sú	Your plantain
Le’mô’o	The other day
Nə̀ cùbt̀ə	To accumulate
A tə nǔ tû àm	He accused me
yɔ́g	spend the day
Mfà’ ntʉ̀n	Good gestures
Jûnə̀ghʉ̌	Voluntary act
Nə̀ là’tə̀ wud ù	introductions
Nə̀ bɛdtə ju	Ask questions
cǎŋ yǎ bwə	food is ready
Nkêdntubu	Little finger
Nsàntubu	Middle finger
Njʉkə̀ywɛd	Middle finger
Ngə̀laŋ yα̌ ghəbtə	Time is close
Â ndʉ̂kə	How are you? 
O yog lα tα	Good day daddy
O yog lα mα	Good day madam
 Ntsəʼtə̀ tûnndα 	Family meeting
Fα ntsə̌ lα̂ mə̀	Give me water 
Ɔ ɔ tα 	Good bye daddy
Ɔ ɔ mα 	Good bye madam
Ɔ ɔ mα 	Good bye mummy
À à’ nɛ̌n zə	He too will go
Mə bə α̂ mɛ̀nntʉ̀n 	I am a person 
Mè bə α̂ ngà ŋwàʼnì	I am a student
Mə fǒn tàʼ mɛn 	I had a child 
Mə yən mbwə	I saw the goat
A kə̂ ʼ zin 	Is not working
À bə α̂ sənnα	It is that one
Lɛ̌n mə̀bwɔ	Know it better
Mɛnmα ά	My step sister
Ndayo sə̀’ə	Ndayo has come
Mɛ̂n njuʼ ncù	Obedient child
Coʼ nzəndα 	Open the door 
Nzìmbwə̀ ŋwʉ	Previous month
Nzwə̂ ŋwànì	School uniform
Cə̂n bon nα	Those children
Bαg à’ nɛ̌n yαg	We will go too
Zîd nə̀fɛ̌nntʉ	Which courage?
Nkǒʼncwɛn 	Wooden cabinet
Njὰb ù	Your vegetable
Yù njὰb	Your vegetable
Njὰb zi᷅n	Your vegetable
Mə ghʉ̌ mɛm yɛ̌nə	I have a child
A kə̂’ bwɔ̀	It is not good
Kα nkûm	Before arriving
Kα nkûm	Before reaching
Mbαb kə̀vogə 	Bone-free meat 
Fʉ̌n nzəndα 	Close the door 
Kα̂  kʉ	Do not run away
Fɛ̌nntʉ̂ yαme	Extreme courage
Ndayo sə̀’ ke?	Has ndayo come?
A fà’ mî mfà’	He did his work
Mə ghʉ̌ cə̌ ʼnkù 	I have panties 
Mə̌ nə̀ fitə ziʼ ju 	I rest to study
Mə kə nzin α̂ nkù 	I walk on foot 
Mə̀ à’ kəb səndîn	I will that one
Kʉ̂dfi sαm bi 	My pen is lost 
Mɛnmα ά	My step brother
Kwǐ bʉèʼngɔ è 	National anthem
Mâ’ yəndîn	Put on that one
Rollin sə̀’ə	Rollin has come
Ntsə bə α̂ mbwɔ ju 	Water is good  
Ŋ̂ mə mfʉǎg ncuè 	Yes, gentleman 
Bin à’ nɛ̌n zin	You too will go
Ò à̀ nɛ̌n yù	You will go too
Ntʉ̂ʼnjàm αm 	Younger brother
Mə̀ kə̂’ yən ndɔ̀ com	I found no plum
Mə kə̀ yən	I have not seen
Nə̀ tswə nùm ntǔnnkù	To sit on heels
Ngàvògtə̀	Agitated person
Nshûn α̌m Ndayo	My friend Ndayo
À kə̂’ sə̀’	He has not come
À bām	He has accepted
A dʉ̂mtə mbὰ 	Enjoy your meal 
O zi lα mα? 	Good morning mum
Nkə̂bnjʉ̂ mə̀bwɔ̂ mbǎ tα 	Good morning sir
Sɔ sə co’	His tooth is out
Bam sαm tad 	I am constipated
Mə̀ lòʼ α̂  bambwogə 	I take the bike 
Mə sog α̂ mba 	I wash the pots 
Mə sǒg nzwə	I washed dresses
